"","x","variable","value","panel"
"233",226.262626262626,"critical",29613.0818066765,"Potential Energy"
"234",233.333333333333,"critical",29828.1165778337,"Potential Energy"
"235",240.40404040404,"critical",30015.8315663304,"Potential Energy"
"236",247.474747474747,"critical",30178.2701157449,"Potential Energy"
"237",254.545454545455,"critical",30317.4196853803,"Potential Energy"
"238",261.616161616162,"critical",30435.207896956,"Potential Energy"
"239",268.686868686869,"critical",30533.4997508695,"Potential Energy"
"240",275.757575757576,"critical",30614.0958303474,"Potential Energy"
"241",282.828282828283,"critical",30678.7313330121,"Potential Energy"
"242",289.89898989899,"critical",30729.0757892057,"Potential Energy"
"243",296.969696969697,"critical",30766.7333446427,"Potential Energy"
"244",304.040404040404,"critical",30793.2435015079,"Potential Energy"
"245",311.111111111111,"critical",30810.0822269912,"Potential Energy"
"246",318.181818181818,"critical",30818.6633514809,"Potential Energy"
"247",325.252525252525,"critical",30820.340190336,"Potential Energy"
"248",332.323232323232,"critical",30816.4073334113,"Potential Energy"
"249",339.393939393939,"critical",30808.102555457,"Potential Energy"
"250",346.464646464646,"critical",30796.6088082734,"Potential Energy"
"251",353.535353535354,"critical",30783.0562621921,"Potential Energy"
"252",360.606060606061,"critical",30768.5243702091,"Potential Energy"
"253",367.676767676768,"critical",30754.0439330101,"Potential Energy"
"254",374.747474747475,"critical",30740.5991473156,"Potential Energy"
"255",381.818181818182,"critical",30729.129623523,"Potential Energy"
"256",388.888888888889,"critical",30720.532361622,"Potential Energy"
"257",395.959595959596,"critical",30715.6636768778,"Potential Energy"
"258",403.030303030303,"critical",30715.3410688877,"Potential Energy"
"259",410.10101010101,"critical",30720.3450293721,"Potential Energy"
"260",417.171717171717,"critical",30731.4207855168,"Potential Energy"
"261",424.242424242424,"critical",30749.2799768833,"Potential Energy"
"262",431.313131313131,"critical",30774.6022648821,"Potential Energy"
"263",438.383838383838,"critical",30808.0368746029,"Potential Energy"
"264",445.454545454545,"critical",30850.2040694332,"Potential Energy"
"265",452.525252525253,"critical",30901.6965594086,"Potential Energy"
"266",459.59595959596,"critical",30963.0808446343,"Potential Energy"
"267",466.666666666667,"critical",31034.8984954258,"Potential Energy"
"268",473.737373737374,"critical",31117.667371049,"Potential Energy"
"269",480.808080808081,"critical",31211.8827791045,"Potential Energy"
"270",487.878787878788,"critical",31318.0185777163,"Potential Energy"
"271",494.949494949495,"critical",31436.5282227603,"Potential Energy"
"272",502.020202020202,"critical",31567.8457624,"Potential Energy"
"273",509.090909090909,"critical",31712.3867812107,"Potential Energy"
"274",516.161616161616,"critical",31870.5492961555,"Potential Energy"
"275",523.232323232323,"critical",32042.7146066473,"Potential Energy"
"276",530.30303030303,"critical",32229.2481008845,"Potential Energy"
"277",537.373737373737,"critical",32430.5000205898,"Potential Energy"
"278",544.444444444444,"critical",32646.80618622,"Potential Energy"
"279",551.515151515152,"critical",32878.4886846404,"Potential Energy"
"280",558.585858585859,"critical",33125.8565211867,"Potential Energy"
"281",565.656565656566,"critical",33389.206237957,"Potential Energy"
"282",572.727272727273,"critical",33668.8225001007,"Potential Energy"
"283",579.79797979798,"critical",33964.9786517903,"Potential Energy"
"284",586.868686868687,"critical",34277.9372434879,"Potential Energy"
"285",593.939393939394,"critical",34607.9505320363,"Potential Energy"
"286",601.010101010101,"critical",34955.2609550343,"Potential Energy"
"287",608.080808080808,"critical",35320.1015808789,"Potential Energy"
"288",615.151515151515,"critical",35702.69653579,"Potential Energy"
"289",622.222222222222,"critical",36103.2614090603,"Potential Energy"
"290",629.292929292929,"critical",36522.003637712,"Potential Energy"
"291",636.363636363636,"critical",36959.1228716757,"Potential Energy"
"292",643.434343434343,"critical",37414.8113205481,"Potential Energy"
"293",650.505050505051,"critical",37889.2540829265,"Potential Energy"
"294",657.575757575758,"critical",38382.629459266,"Potential Energy"
"295",664.646464646465,"critical",38895.1092491477,"Potential Energy"
"296",671.717171717172,"critical",39426.8590338047,"Potential Energy"
"297",678.787878787879,"critical",39978.0384446971,"Potential Energy"
"298",685.858585858586,"critical",40548.8014188895,"Potential Energy"
"299",692.929292929293,"critical",41139.2964419393,"Potential Energy"
"300",700,"critical",41749.6667789641,"Potential Energy"
"301",500,NA,19000,"Time of Sample Trajectory"
"302",513,NA,19024.6710526316,"Time of Sample Trajectory"
"303",515,NA,19049.3421052632,"Time of Sample Trajectory"
"304",529,NA,19074.0131578947,"Time of Sample Trajectory"
"305",532,NA,19098.6842105263,"Time of Sample Trajectory"
"306",540,NA,19123.3552631579,"Time of Sample Trajectory"
"307",551,NA,19148.0263157895,"Time of Sample Trajectory"
"308",560,NA,19172.6973684211,"Time of Sample Trajectory"
"309",579,NA,19197.3684210526,"Time of Sample Trajectory"
"310",572,NA,19222.0394736842,"Time of Sample Trajectory"
"311",579,NA,19246.7105263158,"Time of Sample Trajectory"
"312",576,NA,19271.3815789474,"Time of Sample Trajectory"
"313",561,NA,19296.0526315789,"Time of Sample Trajectory"
"314",554,NA,19320.7236842105,"Time of Sample Trajectory"
"315",562,NA,19345.3947368421,"Time of Sample Trajectory"
"316",559,NA,19370.0657894737,"Time of Sample Trajectory"
"317",543,NA,19394.7368421053,"Time of Sample Trajectory"
"318",552,NA,19419.4078947368,"Time of Sample Trajectory"
"319",558,NA,19444.0789473684,"Time of Sample Trajectory"
"320",556,NA,19468.75,"Time of Sample Trajectory"
"321",550,NA,19493.4210526316,"Time of Sample Trajectory"
"322",547,NA,19518.0921052632,"Time of Sample Trajectory"
"323",560,NA,19542.7631578947,"Time of Sample Trajectory"
"324",567,NA,19567.4342105263,"Time of Sample Trajectory"
"325",568,NA,19592.1052631579,"Time of Sample Trajectory"
"326",578,NA,19616.7763157895,"Time of Sample Trajectory"
"327",584,NA,19641.4473684211,"Time of Sample Trajectory"
"328",587,NA,19666.1184210526,"Time of Sample Trajectory"
"329",595,NA,19690.7894736842,"Time of Sample Trajectory"
"330",596,NA,19715.4605263158,"Time of Sample Trajectory"
"331",583,NA,19740.1315789474,"Time of Sample Trajectory"
"332",588,NA,19764.8026315789,"Time of Sample Trajectory"
"333",584,NA,19789.4736842105,"Time of Sample Trajectory"
"334",578,NA,19814.1447368421,"Time of Sample Trajectory"
"335",570,NA,19838.8157894737,"Time of Sample Trajectory"
"336",562,NA,19863.4868421053,"Time of Sample Trajectory"
"337",558,NA,19888.1578947368,"Time of Sample Trajectory"
"338",566,NA,19912.8289473684,"Time of Sample Trajectory"
"339",573,NA,19937.5,"Time of Sample Trajectory"
"340",574,NA,19962.1710526316,"Time of Sample Trajectory"
"341",554,NA,19986.8421052632,"Time of Sample Trajectory"
"342",549,NA,20011.5131578947,"Time of Sample Trajectory"
"343",549,NA,20036.1842105263,"Time of Sample Trajectory"
"344",551,NA,20060.8552631579,"Time of Sample Trajectory"
"345",561,NA,20085.5263157895,"Time of Sample Trajectory"
"346",572,NA,20110.1973684211,"Time of Sample Trajectory"
"347",560,NA,20134.8684210526,"Time of Sample Trajectory"
"348",569,NA,20159.5394736842,"Time of Sample Trajectory"
"349",558,NA,20184.2105263158,"Time of Sample Trajectory"
"350",548,NA,20208.8815789474,"Time of Sample Trajectory"
"351",545,NA,20233.5526315789,"Time of Sample Trajectory"
"352",532,NA,20258.2236842105,"Time of Sample Trajectory"
"353",539,NA,20282.8947368421,"Time of Sample Trajectory"
"354",517,NA,20307.5657894737,"Time of Sample Trajectory"
"355",512,NA,20332.2368421053,"Time of Sample Trajectory"
"356",507,NA,20356.9078947368,"Time of Sample Trajectory"
"357",505,NA,20381.5789473684,"Time of Sample Trajectory"
"358",506,NA,20406.25,"Time of Sample Trajectory"
